Number,Short description,Description,Category,Priority,State,Assignment group,Opened at,Resolved at,Resolution code,Resolution notes
RITM200025,Account creation for user 257,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,End User Compute,2026-03-13 22:52:00,2026-03-14 21:52:00,Fulfilled,Request completed as per standard procedure.
RITM200026,Account creation for user 224,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Network Ops,2026-01-05 21:18:00,2026-01-06 02:18:00,Fulfilled,Request completed as per standard procedure.
RITM200027,Hardware request for user 497,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Windows Platform,2026-02-01 00:02:00,2026-02-01 02:02:00,Fulfilled,Request completed as per standard procedure.
RITM200028,Access request for user 402,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Database,2026-02-27 17:15:00,2026-03-01 01:15:00,Fulfilled,Request completed as per standard procedure.
RITM200029,Access request for user 284,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Database,2026-01-21 18:22:00,2026-01-22 22:22:00,Fulfilled,Request completed as per standard procedure.
RITM200030,Hardware request for user 44,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Identity,2026-01-17 21:45:00,2026-01-18 16:45:00,Fulfilled,Request completed as per standard procedure.
RITM200031,Software install for user 366,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Service Desk,2026-03-14 15:22:00,2026-03-14 21:22:00,Fulfilled,Request completed as per standard procedure.
RITM200032,Software install for user 195,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,End User Compute,2026-01-25 09:23:00,2026-01-27 02:23:00,Fulfilled,Request completed as per standard procedure.
RITM200033,Hardware request for user 163,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Windows Platform,2026-01-15 01:01:00,2026-01-15 08:01:00,Fulfilled,Request completed as per standard procedure.
RITM200034,Account creation for user 483,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Windows Platform,2026-01-09 07:55:00,2026-01-10 12:55:00,Fulfilled,Request completed as per standard procedure.
RITM200035,Access request for user 53,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Network Ops,2026-02-02 18:15:00,2026-02-03 00:15:00,Fulfilled,Request completed as per standard procedure.
RITM200036,Hardware request for user 230,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Identity,2026-01-18 01:21:00,2026-01-19 13:21:00,Fulfilled,Request completed as per standard procedure.
RITM200037,Hardware request for user 53,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Service Desk,2026-02-16 15:26:00,2026-02-16 21:26:00,Fulfilled,Request completed as per standard procedure.
RITM200038,Account creation for user 306,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Identity,2026-02-02 05:08:00,2026-02-03 02:08:00,Fulfilled,Request completed as per standard procedure.
RITM200039,Hardware request for user 7,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Windows Platform,2026-03-20 14:49:00,2026-03-21 17:49:00,Fulfilled,Request completed as per standard procedure.
RITM200040,Account creation for user 372,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Identity,2026-02-05 07:09:00,2026-02-05 23:09:00,Fulfilled,Request completed as per standard procedure.
RITM200041,Software install for user 351,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Database,2026-02-22 01:27:00,2026-02-22 12:27:00,Fulfilled,Request completed as per standard procedure.
RITM200042,Access request for user 155,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Windows Platform,2026-01-13 15:18:00,2026-01-14 23:18:00,Fulfilled,Request completed as per standard procedure.
RITM200043,Account creation for user 86,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Database,2026-01-14 06:47:00,2026-01-15 00:47:00,Fulfilled,Request completed as per standard procedure.
RITM200044,Access request for user 248,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Service Desk,2026-02-08 07:54:00,2026-02-09 07:54:00,Fulfilled,Request completed as per standard procedure.
RITM200045,Software install for user 370,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,End User Compute,2026-01-23 21:50:00,2026-01-25 05:50:00,Fulfilled,Request completed as per standard procedure.
RITM200046,Software install for user 235,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Service Desk,2026-02-24 01:11:00,2026-02-24 10:11:00,Fulfilled,Request completed as per standard procedure.
RITM200047,Account creation for user 486,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Database,2026-01-28 17:32:00,2026-01-29 15:32:00,Fulfilled,Request completed as per standard procedure.
RITM200048,Hardware request for user 412,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Windows Platform,2026-03-18 14:31:00,2026-03-19 19:31:00,Fulfilled,Request completed as per standard procedure.
RITM200049,Hardware request for user 418,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,End User Compute,2026-01-31 11:14:00,2026-02-02 02:14:00,Fulfilled,Request completed as per standard procedure.
RITM200050,Access request for user 165,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Identity,2026-01-13 09:22:00,2026-01-15 06:22:00,Fulfilled,Request completed as per standard procedure.
RITM200051,Hardware request for user 161,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Network Ops,2026-01-19 06:46:00,2026-01-20 08:46:00,Fulfilled,Request completed as per standard procedure.
RITM200052,Access request for user 150,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,End User Compute,2026-03-30 04:12:00,2026-04-01 01:12:00,Fulfilled,Request completed as per standard procedure.
RITM200053,Hardware request for user 496,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Identity,2026-02-27 14:35:00,2026-02-28 06:35:00,Fulfilled,Request completed as per standard procedure.
RITM200054,Hardware request for user 144,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Database,2026-01-30 15:54:00,2026-01-31 15:54:00,Fulfilled,Request completed as per standard procedure.
RITM200055,Software install for user 304,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Identity,2026-01-11 08:47:00,2026-01-11 20:47:00,Fulfilled,Request completed as per standard procedure.
RITM200056,Account creation for user 488,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,End User Compute,2026-03-04 01:13:00,2026-03-05 07:13:00,Fulfilled,Request completed as per standard procedure.
RITM200057,Software install for user 225,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Windows Platform,2026-03-27 19:57:00,2026-03-29 16:57:00,Fulfilled,Request completed as per standard procedure.
RITM200058,Hardware request for user 345,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Database,2026-01-07 07:04:00,2026-01-07 16:04:00,Fulfilled,Request completed as per standard procedure.
RITM200059,Access request for user 124,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Windows Platform,2026-02-27 15:32:00,2026-03-01 10:32:00,Fulfilled,Request completed as per standard procedure.
RITM200060,Hardware request for user 405,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Database,2026-01-15 00:43:00,2026-01-15 05:43:00,Fulfilled,Request completed as per standard procedure.
RITM200061,Hardware request for user 299,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Database,2026-02-10 21:00:00,2026-02-12 08:00:00,Fulfilled,Request completed as per standard procedure.
RITM200062,Hardware request for user 279,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Service Desk,2026-02-16 02:42:00,2026-02-17 02:42:00,Fulfilled,Request completed as per standard procedure.
RITM200063,Account creation for user 56,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Network Ops,2026-03-05 20:44:00,2026-03-07 15:44:00,Fulfilled,Request completed as per standard procedure.
RITM200064,Access request for user 86,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,End User Compute,2026-03-02 12:02:00,2026-03-04 04:02:00,Fulfilled,Request completed as per standard procedure.
RITM200065,Hardware request for user 496,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Windows Platform,2026-01-05 00:46:00,2026-01-06 04:46:00,Fulfilled,Request completed as per standard procedure.
RITM200066,Account creation for user 51,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Windows Platform,2026-01-10 15:26:00,2026-01-11 06:26:00,Fulfilled,Request completed as per standard procedure.
RITM200067,Software install for user 229,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Windows Platform,2026-02-16 11:35:00,2026-02-17 13:35:00,Fulfilled,Request completed as per standard procedure.
RITM200068,Software install for user 177,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Service Desk,2026-02-12 03:34:00,2026-02-13 10:34:00,Fulfilled,Request completed as per standard procedure.
RITM200069,Access request for user 213,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Service Desk,2026-01-10 12:23:00,2026-01-10 20:23:00,Fulfilled,Request completed as per standard procedure.
RITM200070,Software install for user 179,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Windows Platform,2026-03-17 16:02:00,2026-03-18 14:02:00,Fulfilled,Request completed as per standard procedure.
RITM200071,Software install for user 267,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Database,2026-02-11 10:41:00,2026-02-12 09:41:00,Fulfilled,Request completed as per standard procedure.
RITM200072,Account creation for user 225,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,End User Compute,2026-02-13 08:11:00,2026-02-15 05:11:00,Fulfilled,Request completed as per standard procedure.
RITM200073,Access request for user 35,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Windows Platform,2026-02-11 04:23:00,2026-02-11 07:23:00,Fulfilled,Request completed as per standard procedure.
RITM200074,Account creation for user 12,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Windows Platform,2026-03-15 17:52:00,2026-03-17 11:52:00,Fulfilled,Request completed as per standard procedure.
RITM200075,Software install for user 477,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,End User Compute,2026-01-10 22:54:00,2026-01-11 14:54:00,Fulfilled,Request completed as per standard procedure.
RITM200076,Software install for user 283,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Network Ops,2026-02-16 23:12:00,2026-02-17 21:12:00,Fulfilled,Request completed as per standard procedure.
RITM200077,Hardware request for user 491,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Database,2026-02-20 23:00:00,2026-02-21 14:00:00,Fulfilled,Request completed as per standard procedure.
RITM200078,Hardware request for user 323,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Network Ops,2026-03-14 14:43:00,2026-03-15 02:43:00,Fulfilled,Request completed as per standard procedure.
RITM200079,Hardware request for user 203,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Service Desk,2026-02-28 07:08:00,2026-03-02 07:08:00,Fulfilled,Request completed as per standard procedure.
RITM200080,Software install for user 231,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Identity,2026-02-25 21:32:00,2026-02-27 01:32:00,Fulfilled,Request completed as per standard procedure.
RITM200081,Account creation for user 361,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Network Ops,2026-02-05 09:25:00,2026-02-05 23:25:00,Fulfilled,Request completed as per standard procedure.
RITM200082,Account creation for user 296,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Service Desk,2026-01-26 08:03:00,2026-01-27 19:03:00,Fulfilled,Request completed as per standard procedure.
RITM200083,Access request for user 167,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Network Ops,2026-01-18 00:25:00,2026-01-19 06:25:00,Fulfilled,Request completed as per standard procedure.
RITM200084,Access request for user 344,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Database,2026-01-11 08:56:00,2026-01-12 18:56:00,Fulfilled,Request completed as per standard procedure.
RITM200085,Access request for user 306,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Database,2026-03-29 22:04:00,2026-03-31 14:04:00,Fulfilled,Request completed as per standard procedure.
RITM200086,Account creation for user 179,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Windows Platform,2026-02-05 17:31:00,2026-02-06 23:31:00,Fulfilled,Request completed as per standard procedure.
RITM200087,Software install for user 417,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,End User Compute,2026-02-26 04:38:00,2026-02-28 02:38:00,Fulfilled,Request completed as per standard procedure.
RITM200088,Access request for user 471,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Identity,2026-03-14 20:57:00,2026-03-16 10:57:00,Fulfilled,Request completed as per standard procedure.
RITM200089,Software install for user 161,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Service Desk,2026-01-08 17:08:00,2026-01-09 09:08:00,Fulfilled,Request completed as per standard procedure.
RITM200090,Account creation for user 94,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Windows Platform,2026-01-28 19:06:00,2026-01-30 16:06:00,Fulfilled,Request completed as per standard procedure.
RITM200091,Hardware request for user 215,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Identity,2026-01-13 20:48:00,2026-01-14 05:48:00,Fulfilled,Request completed as per standard procedure.
RITM200092,Hardware request for user 217,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Network Ops,2026-02-22 07:40:00,2026-02-23 15:40:00,Fulfilled,Request completed as per standard procedure.
RITM200093,Software install for user 285,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Network Ops,2026-02-27 20:16:00,2026-03-01 04:16:00,Fulfilled,Request completed as per standard procedure.
RITM200094,Software install for user 96,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Windows Platform,2026-01-27 06:58:00,2026-01-28 11:58:00,Fulfilled,Request completed as per standard procedure.
RITM200095,Account creation for user 444,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Windows Platform,2026-02-26 09:07:00,2026-02-26 10:07:00,Fulfilled,Request completed as per standard procedure.
RITM200096,Software install for user 100,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Database,2026-02-14 02:38:00,2026-02-15 14:38:00,Fulfilled,Request completed as per standard procedure.
RITM200097,Hardware request for user 210,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,End User Compute,2026-02-16 00:08:00,2026-02-17 08:08:00,Fulfilled,Request completed as per standard procedure.
RITM200098,Hardware request for user 251,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Network Ops,2026-02-07 19:57:00,2026-02-08 01:57:00,Fulfilled,Request completed as per standard procedure.
RITM200099,Account creation for user 408,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Network Ops,2026-02-21 11:07:00,2026-02-22 06:07:00,Fulfilled,Request completed as per standard procedure.
RITM200100,Access request for user 116,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Identity,2026-01-03 23:25:00,2026-01-04 18:25:00,Fulfilled,Request completed as per standard procedure.
RITM200101,Hardware request for user 290,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,End User Compute,2026-01-16 07:27:00,2026-01-17 15:27:00,Fulfilled,Request completed as per standard procedure.
RITM200102,Account creation for user 294,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Service Desk,2026-02-20 00:53:00,2026-02-20 18:53:00,Fulfilled,Request completed as per standard procedure.
RITM200103,Access request for user 278,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Service Desk,2026-03-12 13:15:00,2026-03-14 12:15:00,Fulfilled,Request completed as per standard procedure.
RITM200104,Software install for user 218,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Service Desk,2026-02-10 04:10:00,2026-02-12 04:10:00,Fulfilled,Request completed as per standard procedure.
RITM200105,Software install for user 153,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Service Desk,2026-03-17 13:19:00,2026-03-18 18:19:00,Fulfilled,Request completed as per standard procedure.
RITM200106,Access request for user 442,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Service Desk,2026-01-24 22:07:00,2026-01-26 03:07:00,Fulfilled,Request completed as per standard procedure.
RITM200107,Account creation for user 398,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Network Ops,2026-03-20 18:15:00,2026-03-21 08:15:00,Fulfilled,Request completed as per standard procedure.
RITM200108,Access request for user 441,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,End User Compute,2026-03-15 19:00:00,2026-03-17 11:00:00,Fulfilled,Request completed as per standard procedure.
RITM200109,Hardware request for user 85,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Identity,2026-02-27 14:18:00,2026-02-27 23:18:00,Fulfilled,Request completed as per standard procedure.
RITM200110,Software install for user 417,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Network Ops,2026-03-13 10:31:00,2026-03-13 14:31:00,Fulfilled,Request completed as per standard procedure.
RITM200111,Access request for user 273,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Windows Platform,2026-02-21 21:20:00,2026-02-23 12:20:00,Fulfilled,Request completed as per standard procedure.
RITM200112,Software install for user 166,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,End User Compute,2026-02-19 00:57:00,2026-02-19 19:57:00,Fulfilled,Request completed as per standard procedure.
RITM200113,Access request for user 488,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Identity,2026-01-27 08:03:00,2026-01-29 04:03:00,Fulfilled,Request completed as per standard procedure.
RITM200114,Account creation for user 70,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Database,2026-03-16 04:47:00,2026-03-16 08:47:00,Fulfilled,Request completed as per standard procedure.
RITM200115,Software install for user 360,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Network Ops,2026-01-26 05:49:00,2026-01-26 21:49:00,Fulfilled,Request completed as per standard procedure.
RITM200116,Access request for user 425,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Network Ops,2026-01-14 07:28:00,2026-01-16 03:28:00,Fulfilled,Request completed as per standard procedure.
RITM200117,Hardware request for user 73,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Identity,2026-02-05 17:52:00,2026-02-07 10:52:00,Fulfilled,Request completed as per standard procedure.
RITM200118,Hardware request for user 193,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Database,2026-01-25 11:01:00,2026-01-25 16:01:00,Fulfilled,Request completed as per standard procedure.
RITM200119,Account creation for user 207,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Identity,2026-02-27 16:10:00,2026-03-01 16:10:00,Fulfilled,Request completed as per standard procedure.
RITM200120,Access request for user 233,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Database,2026-01-26 07:47:00,2026-01-27 04:47:00,Fulfilled,Request completed as per standard procedure.
RITM200121,Account creation for user 445,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,End User Compute,2026-02-22 23:18:00,2026-02-23 05:18:00,Fulfilled,Request completed as per standard procedure.
RITM200122,Hardware request for user 326,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,End User Compute,2026-03-08 12:44:00,2026-03-10 09:44:00,Fulfilled,Request completed as per standard procedure.
RITM200123,Account creation for user 408,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Identity,2026-02-02 14:32:00,2026-02-03 16:32:00,Fulfilled,Request completed as per standard procedure.
RITM200124,Hardware request for user 423,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Network Ops,2026-01-20 19:51:00,2026-01-22 03:51:00,Fulfilled,Request completed as per standard procedure.
RITM200125,Access request for user 425,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,Windows Platform,2026-01-25 10:37:00,2026-01-26 08:37:00,Fulfilled,Request completed as per standard procedure.
RITM200126,Software install for user 290,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Database,2026-02-19 19:37:00,2026-02-20 17:37:00,Fulfilled,Request completed as per standard procedure.
RITM200127,Account creation for user 24,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Service Desk,2026-03-23 09:18:00,2026-03-25 02:18:00,Fulfilled,Request completed as per standard procedure.
RITM200128,Hardware request for user 9,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Service Desk,2026-03-13 08:25:00,2026-03-13 19:25:00,Fulfilled,Request completed as per standard procedure.
RITM200129,Hardware request for user 1,Standard hardware request following the usual workflow.,Hardware request,3 - Moderate,Closed Complete,Database,2026-02-10 04:00:00,2026-02-10 17:00:00,Fulfilled,Request completed as per standard procedure.
RITM200130,Software install for user 452,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,End User Compute,2026-03-04 16:15:00,2026-03-05 12:15:00,Fulfilled,Request completed as per standard procedure.
RITM200131,Access request for user 48,Standard access request following the usual workflow.,Access request,3 - Moderate,Closed Complete,End User Compute,2026-01-15 11:17:00,2026-01-16 11:17:00,Fulfilled,Request completed as per standard procedure.
RITM200132,Account creation for user 191,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,End User Compute,2026-01-23 18:59:00,2026-01-25 12:59:00,Fulfilled,Request completed as per standard procedure.
RITM200133,Account creation for user 203,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,End User Compute,2026-01-16 01:35:00,2026-01-16 21:35:00,Fulfilled,Request completed as per standard procedure.
RITM200134,Software install for user 220,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,End User Compute,2026-03-08 01:56:00,2026-03-08 07:56:00,Fulfilled,Request completed as per standard procedure.
RITM200135,Account creation for user 1,Standard account creation following the usual workflow.,Account creation,3 - Moderate,Closed Complete,Network Ops,2026-03-06 01:15:00,2026-03-07 08:15:00,Fulfilled,Request completed as per standard procedure.
RITM200136,Software install for user 304,Standard software install following the usual workflow.,Software install,3 - Moderate,Closed Complete,Network Ops,2026-01-08 02:15:00,2026-01-09 12:15:00,Fulfilled,Request completed as per standard procedure.
