Number,Short description,Description,Category,Priority,State,Assignment group,Opened at,Resolved at,Resolution code,Resolution notes
CHG300016,Release change in Network Ops,Planned release change following CAB approval.,Release,2 - High,Closed,Windows Platform,2026-01-16 17:30:00,2026-01-18 06:30:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300017,Config change in Service Desk,Planned config change following CAB approval.,Config,2 - High,Closed,End User Compute,2026-02-10 14:19:00,2026-02-12 05:19:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300018,Firewall rule change in Identity,Planned firewall rule change following CAB approval.,Firewall rule,4 - Low,Closed,Service Desk,2026-02-15 09:50:00,2026-02-15 22:50:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300019,Firewall rule change in Network Ops,Planned firewall rule change following CAB approval.,Firewall rule,4 - Low,Closed,Network Ops,2026-01-26 11:10:00,2026-01-29 08:10:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300020,Patch change in Database,Planned patch change following CAB approval.,Patch,3 - Moderate,Closed,Database,2026-01-23 16:16:00,2026-01-26 15:16:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300021,Firewall rule change in Windows Platform,Planned firewall rule change following CAB approval.,Firewall rule,3 - Moderate,Closed,Database,2026-03-13 03:04:00,2026-03-14 15:04:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300022,Patch change in Windows Platform,Planned patch change following CAB approval.,Patch,2 - High,Closed,Service Desk,2026-01-17 08:48:00,2026-01-18 21:48:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300023,Firewall rule change in Identity,Planned firewall rule change following CAB approval.,Firewall rule,3 - Moderate,Closed,Identity,2026-01-06 07:59:00,2026-01-07 14:59:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300024,Config change in Service Desk,Planned config change following CAB approval.,Config,2 - High,Closed,End User Compute,2026-03-30 15:41:00,2026-03-31 23:41:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300025,Patch change in Network Ops,Planned patch change following CAB approval.,Patch,4 - Low,Closed,Windows Platform,2026-01-25 06:14:00,2026-01-26 06:14:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300026,Config change in Identity,Planned config change following CAB approval.,Config,3 - Moderate,Closed,End User Compute,2026-01-17 00:41:00,2026-01-18 23:41:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300027,Patch change in End User Compute,Planned patch change following CAB approval.,Patch,3 - Moderate,Closed,Identity,2026-03-25 04:37:00,2026-03-26 00:37:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300028,Config change in Database,Planned config change following CAB approval.,Config,3 - Moderate,Closed,Network Ops,2026-02-21 06:07:00,2026-02-23 22:07:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300029,Patch change in Service Desk,Planned patch change following CAB approval.,Patch,2 - High,Closed,Identity,2026-01-04 10:55:00,2026-01-05 16:55:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300030,Firewall rule change in Service Desk,Planned firewall rule change following CAB approval.,Firewall rule,3 - Moderate,Closed,Identity,2026-01-02 19:32:00,2026-01-03 22:32:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300031,Config change in Windows Platform,Planned config change following CAB approval.,Config,2 - High,Closed,Windows Platform,2026-03-15 09:42:00,2026-03-15 18:42:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300032,Config change in Identity,Planned config change following CAB approval.,Config,2 - High,Closed,Service Desk,2026-01-02 23:52:00,2026-01-05 20:52:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300033,Release change in Service Desk,Planned release change following CAB approval.,Release,3 - Moderate,Closed,End User Compute,2026-03-20 08:09:00,2026-03-22 12:09:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300034,Patch change in Windows Platform,Planned patch change following CAB approval.,Patch,3 - Moderate,Closed,Windows Platform,2026-02-23 08:10:00,2026-02-24 03:10:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300035,Config change in End User Compute,Planned config change following CAB approval.,Config,4 - Low,Closed,End User Compute,2026-03-30 19:48:00,2026-04-02 11:48:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300036,Release change in Network Ops,Planned release change following CAB approval.,Release,3 - Moderate,Closed,Network Ops,2026-03-01 02:09:00,2026-03-02 02:09:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300037,Release change in End User Compute,Planned release change following CAB approval.,Release,3 - Moderate,Closed,Network Ops,2026-02-04 10:35:00,2026-02-05 10:35:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300038,Patch change in End User Compute,Planned patch change following CAB approval.,Patch,4 - Low,Closed,Identity,2026-03-08 08:09:00,2026-03-08 14:09:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300039,Release change in Identity,Planned release change following CAB approval.,Release,2 - High,Closed,End User Compute,2026-01-17 13:45:00,2026-01-18 04:45:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300040,Firewall rule change in Network Ops,Planned firewall rule change following CAB approval.,Firewall rule,3 - Moderate,Closed,End User Compute,2026-03-27 06:13:00,2026-03-27 17:13:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300041,Release change in Windows Platform,Planned release change following CAB approval.,Release,2 - High,Closed,End User Compute,2026-01-22 15:54:00,2026-01-23 04:54:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300042,Release change in Database,Planned release change following CAB approval.,Release,1 - Critical,Closed,Windows Platform,2026-03-16 18:56:00,2026-03-17 22:56:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300043,Patch change in Windows Platform,Planned patch change following CAB approval.,Patch,3 - Moderate,Closed,Service Desk,2026-01-23 17:07:00,2026-01-23 19:07:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300044,Firewall rule change in Database,Planned firewall rule change following CAB approval.,Firewall rule,4 - Low,Closed,Network Ops,2026-01-05 09:10:00,2026-01-07 15:10:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300045,Firewall rule change in Windows Platform,Planned firewall rule change following CAB approval.,Firewall rule,4 - Low,Closed,Service Desk,2026-02-14 21:09:00,2026-02-17 12:09:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300046,Config change in Network Ops,Planned config change following CAB approval.,Config,4 - Low,Closed,Service Desk,2026-03-13 19:00:00,2026-03-14 01:00:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300047,Patch change in Windows Platform,Planned patch change following CAB approval.,Patch,3 - Moderate,Closed,Service Desk,2026-01-27 20:14:00,2026-01-28 07:14:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300048,Config change in Database,Planned config change following CAB approval.,Config,2 - High,Closed,End User Compute,2026-02-01 02:41:00,2026-02-01 13:41:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300049,Patch change in Windows Platform,Planned patch change following CAB approval.,Patch,4 - Low,Closed,End User Compute,2026-02-19 19:02:00,2026-02-20 00:02:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300050,Config change in Identity,Planned config change following CAB approval.,Config,4 - Low,Closed,Network Ops,2026-02-09 06:14:00,2026-02-09 14:14:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300051,Release change in Network Ops,Planned release change following CAB approval.,Release,2 - High,Closed,Database,2026-01-10 05:12:00,2026-01-13 05:12:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300052,Release change in End User Compute,Planned release change following CAB approval.,Release,3 - Moderate,Closed,Windows Platform,2026-03-07 17:18:00,2026-03-09 01:18:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300053,Patch change in Database,Planned patch change following CAB approval.,Patch,4 - Low,Closed,Network Ops,2026-01-09 17:31:00,2026-01-10 01:31:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300054,Patch change in Database,Planned patch change following CAB approval.,Patch,1 - Critical,Closed,Windows Platform,2026-02-02 20:14:00,2026-02-05 11:14:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300055,Patch change in Service Desk,Planned patch change following CAB approval.,Patch,2 - High,Closed,Network Ops,2026-01-19 04:11:00,2026-01-20 19:11:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300056,Patch change in Database,Planned patch change following CAB approval.,Patch,1 - Critical,Closed,Windows Platform,2026-03-30 22:24:00,2026-04-02 02:24:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300057,Firewall rule change in End User Compute,Planned firewall rule change following CAB approval.,Firewall rule,3 - Moderate,Closed,Service Desk,2026-02-12 20:47:00,2026-02-15 19:47:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300058,Config change in Windows Platform,Planned config change following CAB approval.,Config,4 - Low,Closed,Windows Platform,2026-02-05 06:33:00,2026-02-06 07:33:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300059,Patch change in Windows Platform,Planned patch change following CAB approval.,Patch,4 - Low,Closed,Database,2026-02-10 13:48:00,2026-02-12 00:48:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300060,Release change in Identity,Planned release change following CAB approval.,Release,1 - Critical,Closed,Network Ops,2026-01-21 14:14:00,2026-01-22 04:14:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300061,Release change in Identity,Planned release change following CAB approval.,Release,4 - Low,Closed,Identity,2026-01-08 19:13:00,2026-01-10 02:13:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300062,Patch change in Database,Planned patch change following CAB approval.,Patch,4 - Low,Closed,Identity,2026-02-20 09:21:00,2026-02-22 23:21:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300063,Config change in Database,Planned config change following CAB approval.,Config,3 - Moderate,Closed,Service Desk,2026-02-22 03:06:00,2026-02-24 07:06:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300064,Patch change in Identity,Planned patch change following CAB approval.,Patch,2 - High,Closed,Service Desk,2026-03-24 04:08:00,2026-03-26 15:08:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300065,Config change in Network Ops,Planned config change following CAB approval.,Config,2 - High,Closed,Network Ops,2026-01-16 17:39:00,2026-01-17 00:39:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300066,Patch change in End User Compute,Planned patch change following CAB approval.,Patch,4 - Low,Closed,Network Ops,2026-02-08 12:52:00,2026-02-09 08:52:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300067,Release change in Windows Platform,Planned release change following CAB approval.,Release,1 - Critical,Closed,Service Desk,2026-03-17 22:08:00,2026-03-20 01:08:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300068,Firewall rule change in Identity,Planned firewall rule change following CAB approval.,Firewall rule,3 - Moderate,Closed,Windows Platform,2026-02-20 15:23:00,2026-02-23 11:23:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300069,Patch change in End User Compute,Planned patch change following CAB approval.,Patch,4 - Low,Closed,Service Desk,2026-02-11 16:51:00,2026-02-13 23:51:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300070,Config change in Identity,Planned config change following CAB approval.,Config,1 - Critical,Closed,Service Desk,2026-01-14 14:53:00,2026-01-15 04:53:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300071,Release change in Identity,Planned release change following CAB approval.,Release,3 - Moderate,Closed,Database,2026-03-13 12:29:00,2026-03-14 23:29:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300072,Firewall rule change in Identity,Planned firewall rule change following CAB approval.,Firewall rule,4 - Low,Closed,Service Desk,2026-02-04 20:46:00,2026-02-05 20:46:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300073,Firewall rule change in Network Ops,Planned firewall rule change following CAB approval.,Firewall rule,4 - Low,Closed,Service Desk,2026-01-26 01:39:00,2026-01-28 05:39:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300074,Release change in End User Compute,Planned release change following CAB approval.,Release,2 - High,Closed,Service Desk,2026-03-22 23:18:00,2026-03-25 13:18:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300075,Release change in Windows Platform,Planned release change following CAB approval.,Release,1 - Critical,Closed,Windows Platform,2026-03-25 19:35:00,2026-03-27 11:35:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300076,Release change in Database,Planned release change following CAB approval.,Release,1 - Critical,Closed,Network Ops,2026-01-29 07:16:00,2026-01-30 02:16:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300077,Firewall rule change in Windows Platform,Planned firewall rule change following CAB approval.,Firewall rule,3 - Moderate,Closed,End User Compute,2026-01-28 08:24:00,2026-01-30 15:24:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300078,Patch change in Network Ops,Planned patch change following CAB approval.,Patch,4 - Low,Closed,Network Ops,2026-02-25 01:35:00,2026-02-27 07:35:00,Successful,Change implemented per plan. Smoke tests passed.
CHG300079,Firewall rule change in Identity,Planned firewall rule change following CAB approval.,Firewall rule,3 - Moderate,Closed,Service Desk,2026-03-09 10:37:00,2026-03-12 05:37:00,Successful,Change implemented per plan. Smoke tests passed.
